iter	Logloss
0	0.6586151529
1	0.6287203825
2	0.6045627002
3	0.5817710788
4	0.5612406286
5	0.5432179814
6	0.5299191953
7	0.5161043995
8	0.5052510273
9	0.4953548834
10	0.4859010414
11	0.479379703
12	0.4726967054
13	0.4660421404
14	0.4601283374
15	0.454091056
16	0.4495686596
17	0.4452477551
18	0.4416389093
19	0.4383045593
20	0.4366718011
21	0.433644387
22	0.4304436698
23	0.4275773191
24	0.4251112984
25	0.4230582805
26	0.4211905343
27	0.4193105486
28	0.4176967184
29	0.4161483643
30	0.4145049101
31	0.4128398472
32	0.4115892493
33	0.4103619661
34	0.4087461321
35	0.4073822644
36	0.40595441
37	0.4051538855
38	0.404178352
39	0.4032088028
40	0.4022906489
41	0.40145522
42	0.4005110706
43	0.3998065397
44	0.3990520758
45	0.398291411
46	0.397532777
47	0.3969820525
48	0.3963199538
49	0.3956018294
50	0.3947152761
51	0.394152962
52	0.3934664113
53	0.3929078881
54	0.3922523153
55	0.3917703434
56	0.3910606134
57	0.3903956443
58	0.3895370362
59	0.3891453172
60	0.3885390003
61	0.388132361
62	0.3873713442
63	0.3867895335
64	0.3862971092
65	0.3858239107
66	0.3851171864
67	0.3842169585
68	0.3832728632
69	0.3828373311
70	0.382173066
71	0.3816646383
72	0.3811221999
73	0.3806003411
74	0.3801470996
75	0.3797516167
76	0.3794287857
77	0.3786948745
78	0.3778590665
79	0.3777321762
80	0.377318659
81	0.3767136148
82	0.3763709081
83	0.3760828189
84	0.3755851414
85	0.3752487981
86	0.3745947688
87	0.3743028345
88	0.3740182384
89	0.3736816515
90	0.373349018
91	0.3731444663
92	0.3727682362
93	0.372447734
94	0.37212975
95	0.3716582304
96	0.3712267601
97	0.3708403214
98	0.3705527196
99	0.3701732131
100	0.3700015348
101	0.3694492127
102	0.3689257834
103	0.3688004637
104	0.3683773335
105	0.3680734575
106	0.3678699348
107	0.3673995254
108	0.3669544887
109	0.366511537
110	0.3660308107
111	0.3656575051
112	0.3653969549
113	0.3651598276
114	0.3648607987
115	0.3641658536
116	0.363911044
117	0.3637371723
118	0.3636063556
119	0.3628551141
120	0.3625018197
121	0.3620829138
122	0.36164267
123	0.3611219486
124	0.3604222918
125	0.3599882219
126	0.3595185166
127	0.3590826053
128	0.3588027209
129	0.3584891508
130	0.3582407318
131	0.357789819
132	0.357561736
133	0.3570823094
134	0.3566400076
135	0.356202255
136	0.3558221257
137	0.3554889236
138	0.3551854266
139	0.3548316448
140	0.3544223247
141	0.3541152264
142	0.3538003294
143	0.3532828303
144	0.3526638136
145	0.3520774266
146	0.3517593614
147	0.3515455488
148	0.3513501226
149	0.3509666896
150	0.3509234993
151	0.3504917311
152	0.350019724
153	0.3498687338
154	0.3494150861
155	0.3489219036
156	0.3484177814
157	0.3479972237
158	0.3474388901
159	0.3469560787
160	0.3466184357
161	0.3463381722
162	0.3462202179
163	0.3459434205
164	0.3456392737
165	0.3454364008
166	0.3451645588
167	0.3447314908
168	0.3443501159
169	0.3438135535
170	0.3432420326
171	0.3430197173
172	0.3426351742
173	0.3420866431
174	0.3418986905
175	0.3416429873
176	0.3412306615
177	0.3407971061
178	0.3404865417
179	0.3401261256
180	0.3397546343
181	0.3393188585
182	0.3390607453
183	0.3387909342
184	0.3384761996
185	0.3383047921
186	0.3381506878
187	0.3379555866
188	0.3377195695
189	0.3373077311
190	0.3370934311
191	0.3367535947
192	0.3364853542
193	0.3362688608
194	0.3359183284
195	0.3355709641
196	0.3353803579
197	0.335189183
198	0.3349185053
199	0.3346811344
200	0.3343359906
201	0.3339403994
202	0.3336863209
203	0.3333267442
204	0.3329457213
205	0.3325461224
206	0.332255894
207	0.3319686984
208	0.331633682
209	0.3314706147
210	0.3311203531
211	0.3307657047
212	0.3303759896
213	0.3300857882
214	0.3298927449
215	0.3295702118
216	0.3292021053
217	0.3290253633
218	0.3284294176
219	0.3281400828
220	0.3277929352
221	0.3276248854
222	0.3274657986
223	0.3269359518
224	0.3265823053
225	0.3264285801
226	0.3259009266
227	0.3256955625
228	0.3253667742
229	0.3250232551
230	0.3247529024
231	0.3243676281
232	0.3241739078
233	0.3238424387
234	0.3235590342
235	0.3232128614
236	0.3231235832
237	0.3228778721
238	0.3225163999
239	0.3221203213
240	0.3216820812
241	0.3214216935
242	0.321231006
243	0.3209869195
244	0.3208478439
245	0.3206092814
246	0.3201833893
247	0.3200198887
248	0.319621373
249	0.3192172791
250	0.3188812066
251	0.3187213075
252	0.3181766216
253	0.3178836041
254	0.3175971667
255	0.3173275992
256	0.317064314
257	0.3168196048
258	0.3165349275
259	0.3163785757
260	0.3160493541
261	0.315727173
262	0.3152932385
263	0.3149924765
264	0.31470325
265	0.3145612769
266	0.3143121538
267	0.3141213039
268	0.3138709081
269	0.3135918632
270	0.313280026
271	0.3130631806
272	0.312910674
273	0.3126561893
274	0.3124314641
275	0.3121689642
276	0.3116944118
277	0.3114049145
278	0.3110248664
279	0.3107547303
280	0.3106262153
281	0.3105363414
282	0.3102939609
283	0.3101817472
284	0.3100195464
285	0.3096468366
286	0.309428881
287	0.3090855515
288	0.30880564
289	0.3084209073
290	0.3080213085
291	0.3077413429
292	0.3075054612
293	0.3071233551
294	0.3068511882
295	0.3064986519
296	0.3062338232
297	0.305978797
298	0.3055475704
299	0.3052769469
