iter	Passed	Remaining
0	4	1243
1	8	1227
2	12	1213
3	16	1203
4	20	1211
5	24	1206
6	28	1198
7	32	1199
8	36	1193
9	41	1190
10	44	1182
11	48	1174
12	53	1173
13	57	1178
14	61	1171
15	65	1168
16	69	1164
17	73	1158
18	78	1161
19	82	1155
20	84	1125
21	88	1118
22	92	1113
23	96	1109
24	100	1106
25	104	1104
26	108	1100
27	112	1097
28	117	1096
29	121	1091
30	126	1093
31	130	1092
32	134	1087
33	138	1084
34	143	1083
35	147	1079
36	151	1075
37	155	1075
38	160	1073
39	164	1069
40	168	1067
41	173	1065
42	177	1062
43	181	1058
44	186	1056
45	190	1052
46	194	1048
47	198	1044
48	203	1041
49	208	1040
50	212	1037
51	216	1034
52	221	1030
53	225	1026
54	229	1022
55	233	1018
56	237	1014
57	241	1009
58	246	1005
59	250	1001
60	254	996
61	258	992
62	262	988
63	267	984
64	271	980
65	275	975
66	279	971
67	283	967
68	287	963
69	292	960
70	296	955
71	300	951
72	304	947
73	308	942
74	312	938
75	316	934
76	321	929
77	325	925
78	329	920
79	332	913
80	336	909
81	340	905
82	344	900
83	348	896
84	352	892
85	356	888
86	361	883
87	365	880
88	369	876
89	374	872
90	378	868
91	382	864
92	386	860
93	390	856
94	394	852
95	399	847
96	403	843
97	407	839
98	411	835
99	415	830
100	419	826
101	423	822
102	427	817
103	431	813
104	435	809
105	440	805
106	444	801
107	448	797
108	454	795
109	460	794
110	464	790
111	468	786
112	472	782
113	476	778
114	480	773
115	485	770
116	490	766
117	494	762
118	498	758
119	503	754
120	507	750
121	512	747
122	517	744
123	521	740
124	525	736
125	530	732
126	534	728
127	539	724
128	545	722
129	550	719
130	554	715
131	559	711
132	563	707
133	567	703
134	572	699
135	577	695
136	581	692
137	586	687
138	590	683
139	595	680
140	599	675
141	603	671
142	607	667
143	611	662
144	615	658
145	620	653
146	624	649
147	628	645
148	632	641
149	636	636
150	639	630
151	643	626
152	647	621
153	651	617
154	655	613
155	660	609
156	664	605
157	668	600
158	672	596
159	676	592
160	680	587
161	685	583
162	689	579
163	693	574
164	697	570
165	701	566
166	705	561
167	709	557
168	713	553
169	717	548
170	722	544
171	726	540
172	730	536
173	735	532
174	739	528
175	743	523
176	747	519
177	751	515
178	756	511
179	760	506
180	764	502
181	768	498
182	772	493
183	776	489
184	780	485
185	785	481
186	789	476
187	793	472
188	797	468
189	801	463
190	805	459
191	809	455
192	813	451
193	818	447
194	823	443
195	827	439
196	831	434
197	835	430
198	840	426
199	844	422
200	848	417
201	852	413
202	856	409
203	860	405
204	865	400
205	869	396
206	873	392
207	877	388
208	882	384
209	886	380
210	890	375
211	895	371
212	899	367
213	903	362
214	907	358
215	911	354
216	916	350
217	920	346
218	924	341
219	928	337
220	932	333
221	936	329
222	941	324
223	946	321
224	950	316
225	954	312
226	959	308
227	963	304
228	967	300
229	971	295
230	976	291
231	980	287
232	985	283
233	989	279
234	993	274
235	998	270
236	1002	266
237	1006	262
238	1010	257
239	1014	253
240	1019	249
241	1023	245
242	1027	241
243	1032	236
244	1036	232
245	1040	228
246	1045	224
247	1050	220
248	1054	215
249	1058	211
250	1063	207
251	1068	203
252	1072	199
253	1076	194
254	1080	190
255	1085	186
256	1089	182
257	1094	178
258	1099	174
259	1103	169
260	1108	165
261	1113	161
262	1117	157
263	1121	152
264	1125	148
265	1129	144
266	1134	140
267	1138	135
268	1142	131
269	1146	127
270	1151	123
271	1155	118
272	1159	114
273	1164	110
274	1169	106
275	1173	102
276	1177	97
277	1181	93
278	1185	89
279	1189	84
280	1194	80
281	1198	76
282	1202	72
283	1206	67
284	1210	63
285	1215	59
286	1219	55
287	1224	51
288	1228	46
289	1232	42
290	1237	38
291	1241	34
292	1245	29
293	1249	25
294	1253	21
295	1258	17
296	1262	12
297	1266	8
298	1271	4
299	1275	0
